ISO;pais;desenvolvido;ano;unemployment;ppp;ppp_2011;gdp_npc;gross_fixed;share_manuf_gdp;sahre_ind_gdp;share_ind_emplo;export_devel;export_industrial;export_manuf;import_devel;import_industrial;import_manuf;exp_imp_manuf;exp_imp_ind;exp_imp_dev;l_ppp;l_ppp_2011;l2_ppp;l2_ppp_2011;r_exp_imp_manuf;r_export_manuf;r_import_manuf
MEX;Mexico;0;1995;6,23;9514,59;13049,76;8,99E+11;16,354;19,1514;32,6921;21,593;6001179016;72950232824;61639319560;5421834992;66553070344;61639319560;1,23E+11;1,4E+11;11423014008;9,1606;9,4765;83,9163;89,8045;0,1371;0,0686;0,0686
MEX;Mexico;0;2000;2,2;12532,13;15810,87;1,26E+18;21,4889;18,9879;34,2097;27,013;8727543208;1,58E+11;1,39E+11;18634122604;1,55E+11;1,39E+11;2,78E+11;3,12E+11;27361665812;9,4361;9,6685;89,0391;93,479;0,2196;0,1098;0,1098
MEX;Mexico;0;2005;3,478;14234,02;15986,25;1,53E+18;20,7037;15,7266;32,7834;25,719;14677850518;1,99E+11;1,65E+11;53858817630;1,67E+11;1,65E+11;3,3E+11;3,66E+11;68536668148;9,5634;9,6795;91,4584;93,6924;0,2163;0,1082;0,1082
MEX;Mexico;0;2010;5,272;15810,96;16137,35;1,81E+17;21,5827;15,5617;32,3619;24,128;30175885455;2,68E+11;2,22E+11;95132374031;2,05E+11;2,22E+11;4,45E+11;4,73E+11;1,25E+11;9,6685;9,6889;93,4791;93,8746;0,2461;0,1231;0,1231
MEX;Mexico;0;2015;4,35;18765,49;17622,44;2,27E+18;22,5266;17,1084;29,9846;25,058;36072517928;3,44E+11;3,12E+11;1,32E+11;2,62E+11;3,12E+11;6,24E+11;6,06E+11;1,68E+11;9,8398;9,7769;96,8212;95,5883;0,2746;0,1373;0,1373
MNE;Montenegro;0;1995;;;;;;;;26,105;;;;;;;;;;;;;;;;
MNE;Montenegro;0;2000;;8032,32;10133,79;4920000000;16,8735;9,2808;21,259;23,955;;;;;;;;;;8,9912;9,2236;80,8422;85,0754;;;
MNE;Montenegro;0;2005;;10326,33;11597,52;6349000000;17,9796;8,1921;17,3415;19,234;;;;;;;;;;9,2425;9,3585;85,4229;87,5824;;;
MNE;Montenegro;0;2010;;13565,79;13845,83;8403000000;21,6423;4,5528;17,1484;18,998;11016810;254223875;99381721;259477585;1005772002;99381721;198763442;1259995877;270494395;9,5153;9,5357;90,5411;90,9303;0,0237;0,0118;0,0118
MNE;Montenegro;0;2015;;16057;15078,92;9991000000;20,1471;4,0887;14,3535;17,575;48907043;135543253;92817753;360587856;902205493;92817753;185635506;1037748746;409494899;9,6839;9,6211;93,7779;92,5647;0,0186;0,0093;0,0093
MAR;Morocco;0;1995;16;2957,02;4055,71;78018000000;23,9573;18,875;26,3312;22,64;1234843197;5391569595;3985319504;2042446153;5851190701;3985319504;7970639008;11242760296;3277289350;7,9919;8,3079;63,8711;69,0209;0,1022;0,0511;0,0511
MAR;Morocco;0;2000;13,395;3664,65;4623,42;1,04E+11;26,9729;18,4955;26,9599;21,051;1137335610;6208253966;4661653411;3097639992;8063245593;4661653411;9323306822;14271499559;4234975602;8,2065;8,4389;67,3464;71,2149;0,09;0,045;0,045
MAR;Morocco;0;2005;11,058;4891,45;5493,6;1,48E+11;28,4869;16,8406;26,1539;19,51;2075810312;8883915353;6933692510;6398949607;12687496788;6933692510;13867385020;21571412141;8474759919;8,4952;8,6113;72,1692;74,1552;0,0938;0,0469;0,0469
MAR;Morocco;0;2010;9,063;6451,8;6584,99;2,08E+11;30,6562;15,5909;25,6574;21,962;5339277659;11922260687;10977424145;12677403892;21031101722;10977424145;21954848290;32953362409;18016681551;8,7721;8,7925;76,95;77,3089;0,1057;0,0529;0,0529
MAR;Morocco;0;2015;9,707;8044,51;7554,5;2,75E+11;28,6587;16,2309;25,8309;19,155;6379152329;14891331547;14764272274;11864393310;23365223364;14764272274;29528544548;38256554911;18243545639;8,9927;8,9299;80,8695;79,7431;0,1076;0,0538;0,0538
MOZ;Mozambique;0;1995;;2684,82;3682,38;4291000000;19,9397;10,8129;14,2007;3,061;58595988;115630944;27876245;489471878;237519123;27876245;55752490;353150067;548067866;5,5928;5,9087;31,2792;34,9131;0,013;0,0065;0,0065
MOZ;Mozambique;0;2000;;4400,85;5552,23;8043000000;22,061;14,8332;20,2449;3,704;188602577;171016064;36315383;863536603;297986180;36315383;72630766;469002244;1052139180;6,087;6,3194;37,0512;39,9344;0,009;0,0045;0,0045
MOZ;Mozambique;0;2005;;6583,01;7393,39;13831000000;13,2091;13,899;19,1139;3,278;438499252;1297688828;66264450;1694699113;705529124;66264450;132528900;2003217952;2133198365;6,4897;6,6058;42,1157;43,636;0,0096;0,0048;0,0048
MOZ;Mozambique;0;2010;;8955,01;9139,87;21780000000;17,8631;10,4699;17,5502;3,439;1070122955;1899142367;121235704;3198064260;1383161383;121235704;242471408;3282303750;4268187215;6,7974;6,8178;46,2044;46,4826;0,0111;0,0056;0,0056
MOZ;Mozambique;0;2015;;11921,5;11195,3;33354000000;31,9582;9,1126;19,6452;4,276;1703620453;1445081558;154977106;6011953606;1844146459;154977106;309954212;3289228017;7715574059;7,0835;7,0207;50,1762;49,2897;0,0093;0,0046;0,0046
